feature,importance
log_code_size,3432
avg_line_length,2878
entropy,2851
digit_ratio,2824
special_char_ratio_nostrings,2676
special_char_ratio,2653
entropy_nostrings,2646
string_literal_ratio,2468
whitespace_ratio,2297
input_density,1075
exec_density,773
total_weighted_signature_score,676
overall_threat_score,673
input_count,641
has_unicode_escape,494
dynamic_exec_density,483
is_known_framework,420
has_db_ops,349
has_jsp_suspicious_url_pattern,345
decode_density,337
has_asp_createobject,336
deep_array_access_count,315
has_magic_method,257
has_form_textarea,256
exec_func_count,254
benign_data_blob_score,253
input_exec_distance,251
has_aspx_runat,224
has_form_file_upload_loose,199
intent_c2_score,188
has_exec_function,182
stealth_technique_count,179
has_aspx_exec,170
intent_webshell_score,170
has_backticks,162
intent_dropper_score,160
has_variable_function_call,160
has_file_read_ops,143
has_function_chain,131
data_flow_complexity,126
has_asp_scripting,120
decode_func_count,103
behavior_rawbody_backdoor,99
has_class_construct_exec,90
has_form_file_upload,85
has_var_vars,85
has_aspx_file_write,77
has_file_write_ops,66
has_string_concat,65
intent_backdoor_score,59
has_input_access,59
has_hex_escape,56
has_comment_obfusc,56
has_python_os_system,51
behavior_data_exfiltration,43
has_dotnet_session_cache,42
has_jsp_runtime_exec,42
has_decode_function,39
exec_path_hidden,38
long_base64_count,37
has_error_suppress_exec,35
behavior_sql_backdoor,34
has_serialized_blob,32
has_invoke_pattern,28
has_alphabet_builder,28
strong_signature_score,28
has_deep_array_access,26
dotnet_memory_shell_score,26
behavior_form_file_upload_loose,25
has_dynamic_exec,25
has_octal_escape,24
has_jscript_eval_encoded,24
has_reflection,23
has_long_base64,23
has_string_index_obfusc,22
has_fsockopen,21
has_jsp_http_client,18
stealth_score_enhanced,18
exec_path_indirect,17
has_python_exec,16
critical_signature_score,11
behavior_obfuscated_exec,11
aspx_databinding_eval_count,10
behavior_upload_chmod,10
has_chr_concat,9
has_svg_blob,8
has_regex_exec,7
has_multiple_signatures,7
aspx_code_eval_count,5
has_socket_create,4
aspx_signature_score,3
has_any_critical_signature,3
has_superglobal_var_call,3
has_md5_cookie_check,2
has_any_strong_signature,2
exec_path_regex,2
short_input_exec_distance,2
has_java_runtime_exec,2
has_hardcoded_c2,1
has_decode_chain,1
has_aspx_winapi,0
has_large_lang_array,0
aspx_tunneling_score,0
has_jsp_compiled_backdoor,0
has_jsp_runtime_exec_command,0
has_jsp_hardcoded_command,0
has_jsp_compiled_class,0
has_jsp_classloader,0
has_jsp_base64_classload,0
has_aspx_privilege_esc,0
has_aspx_named_pipe,0
has_aspx_file_upload,0
has_java_reflection,0
has_goto,0
has_unserialize_input,0
has_dynamic_include,0
has_bitwise_chr,0
has_jsp_runtime_suspicious,0
has_hardcoded_backdoor_cmd,0
has_dotnet_aes_decrypt,0
has_dotnet_frombase64,0
has_jsp_hardcoded_curl_k,0
has_jsp_linux_enum,0
has_jsp_exec_hardcoded_cmd,0
has_jsp_http_external_suspicious,0
has_dotnet_webservice,0
has_dotnet_createinstance,0
has_jsp_custom_classloader,0
has_jscript_directive,0
has_fake_wp_plugin,0
has_fake_mage_class,0
has_dotnet_assembly_load,0
has_dotnet_memorystream,0
has_jsp_reflection,0
has_jsp_script_engine,0
has_assign_input_then_call,0
behavior_jscript_webshell,0
behavior_jsp_hardcoded_backdoor,0
behavior_jsp_http_backdoor,0
behavior_jsp_memory_shell,0
behavior_jsp_request_exec,0
behavior_aspx_process_shell,0
behavior_aspx_privilege_pipe,0
behavior_cookie_exec,0
behavior_aspx_tunneling,0
behavior_aspx_file_manager,0
behavior_cookie_hash_gate_dyn_call,0
behavior_password_backdoor,0
has_assign_input_then_exec,0
has_reflection_newinstance,0
behavior_input_decode_exec,0
has_newinstance_with_input,0
has_exec_comment_split,0
has_nested_functions,0
behavior_jsp_http_tunneling,0
intent_privilege_escalation,0
behavior_file_manager,0
behavior_filterinput_exec,0
behavior_sqlmap_uploader,0
behavior_reverse_shell,0
behavior_arbitrary_upload_path,0
behavior_assign_input_then_exec,0
behavior_exec_comment_split,0
behavior_dotnet_memory_shell,0
exec_path_direct,0
exec_path_decoded,0
jsp_signature_score,0
